Month_Year,Site,MatLoc,Y(II)
June_2023,TM,Internal,0.565
June_2023,TM,Internal,0.842
June_2023,TM,Internal,0.4
June_2023,TM,Internal,0.733
June_2023,TM,Internal,0.379
June_2023,TM,Internal,0.3
June_2023,TM,Internal,0.245
June_2023,TM,Internal,0.255
July_2023,TM,Internal,0.291
July_2023,TM,Internal,0.632
July_2023,TM,Internal,0.206
July_2023,TM,Internal,0.633
July_2023,TM,Internal,0.253
July_2023,TM,Internal,0.0454
July_2023,TM,Internal,0.246
July_2023,TM,Internal,0.391
Dec_2023,TM,Internal,0.77
Dec_2023,TM,Internal,0.641
July_2025,TM,Internal,0.452
July_2025,TM,Internal,0.46
July_2025,TM,Internal,0.569
June_2023,TM,External,0.447
June_2023,TM,External,0.519
June_2023,TM,External,0.429
June_2023,TM,External,0.552
June_2023,TM,External,0.456
June_2023,TM,External,0.318
June_2023,TM,External,0.44
June_2023,TM,External,0.486
July_2023,TM,External,0.508
July_2023,TM,External,0.298
July_2023,TM,External,0.438
July_2023,TM,External,0.366
July_2023,TM,External,0.515
Dec_2023,TM,External,0.494
Dec_2023,TM,External,0.714
Dec_2023,TM,External,0.605
July_2025,TM,External,0.481
July_2025,TM,External,0.543
July_2025,TM,External,0.471
