"","Sample","Transect","Month_Year","is.neg","Mat","Observed","Shannon","InvSimpson","Evenness"
"MM_MG2_B10","MM_MG2_B10",3,"July_2025",FALSE,1,2428,6.69959443672239,253.824421755399,0.859492807716775
"MM_MG2_B11","MM_MG2_B11",1,"July_2025",FALSE,1,1983,6.74341393637995,398.534164683282,0.888183449300363
"MM_MG2_B12","MM_MG2_B12",2,"July_2025",FALSE,1,2986,7.12611771548021,588.525254012511,0.890576582570008
"MM_MG2_B5","MM_MG2_B5",1,"July_2025",FALSE,2,2051,6.61304165565232,302.988353773271,0.867161013778963
"MM_MG2_B6","MM_MG2_B6",2,"July_2025",FALSE,2,1921,6.70592544131664,403.185133052693,0.886956644974122
"MM_MG2_B7","MM_MG2_B7",3,"July_2025",FALSE,2,1978,6.46716201896145,220.002162809903,0.852081299534494
"MM_MG2_B8","MM_MG2_B8",1,"July_2025",FALSE,3,1320,6.07926135558356,123.31638382523,0.846059000357477
"MM_MG2_B9","MM_MG2_B9",2,"July_2025",FALSE,3,1784,6.18595899274203,137.549001493156,0.826269333542964
"MM_MG2_C1","MM_MG2_C1",3,"July_2025",FALSE,3,2662,7.18047688025103,651.618536132959,0.910438560218327
"MM_MG2_C2","MM_MG2_C2",1,"July_2025",FALSE,4,1913,6.57203773428977,280.434747029127,0.86972809915855
"MM_MG2_C3","MM_MG2_C3",2,"July_2025",FALSE,4,2020,6.7583246770866,377.352813929542,0.887985205234225
"MM_MG2_C4","MM_MG2_C4",3,"July_2025",FALSE,4,1959,6.23615666272172,69.9109713852197,0.822691402402016
