"","Family","Variable","Correlation_Coefficient","P_value"
"1","A4b","TN",0.00731937564330144,0.950304964066617
"2","A4b","TOC",-0.23208149341053,0.0451158018483706
"3","A4b","TOM",-0.0405410197715852,0.729838343895918
"4","Cyclobacteriaceae","TN",-0.0242187805557997,0.836597022493279
"5","Cyclobacteriaceae","TOC",-0.388345964423979,0.000575574211297024
"6","Cyclobacteriaceae","TOM",-0.0149724809244777,0.898548827419789
"7","Desulfocapsaceae","TN",-0.0699178222686477,0.551130982942387
"8","Desulfocapsaceae","TOC",0.0814983547276591,0.486992936764264
"9","Desulfocapsaceae","TOM",0.04693059998919,0.689285447339065
"10","Flavobacteriaceae","TN",-0.183053351166268,0.115955969849089
"11","Flavobacteriaceae","TOC",0.395387572186123,0.000446652930431524
"12","Flavobacteriaceae","TOM",0.102936959234409,0.37949618223262
"13","Halieaceae","TN",-0.0613272865147159,0.601195706557383
"14","Halieaceae","TOC",0.318287221715398,0.00538722081864828
"15","Halieaceae","TOM",0.350835697978806,0.00202854039519488
"16","Pirellulaceae","TN",0.122570130384534,0.294815525484248
"17","Pirellulaceae","TOC",-0.0220502440803983,0.851052133143584
"18","Pirellulaceae","TOM",-0.163669249560446,0.160589482603247
"19","Rhodobacteraceae","TN",0.418394177974293,0.000187383035761
"20","Rhodobacteraceae","TOC",-0.4505551895297,4.98757658889491e-05
"21","Rhodobacteraceae","TOM",0.00698076759853045,0.952601235053926
"22","Saprospiraceae","TN",0.225115955654363,0.0521588870308112
"23","Saprospiraceae","TOC",-0.47233913382908,1.88148376492182e-05
"24","Saprospiraceae","TOM",-0.130274981861609,0.265270424285455
"25","Woeseiaceae","TN",0.0345472395364818,0.768566439538095
"26","Woeseiaceae","TOC",-0.406381156481725,0.000297229581708205
"27","Woeseiaceae","TOM",-0.0738733740129033,0.528774206039869
