Sample,Mat,Transect,Site,Month,Observed,Shannon,InvSimpson,even,label,TN,TOC,TOM
A1,MG 1,1,TM2 ,June ,1331,6.682047,469.60723,0.9288766,MG Edge,0,0.43,1.02
A3,MG 1,3,TM2 ,June ,966,6.356096,347.13137,0.9247701,30cm from MG Edge,0,0.173,1.59
A4,MG 1,4,TM2 ,June ,1889,6.868485,512.29646,0.9104804,60cm from MG Edge,0,0.422,1.08
A2,MG 1,2,TM2 ,June ,892,6.171354,248.79483,0.908425,15cm from MG Edge,0,0.351,4.14
A5,MG 1,5,TM2 ,June ,1473,6.428589,153.33488,0.8812254,90cm from MG Edge,0,0.485,1.15
A10,MG 2,5,TM2 ,June ,2092,6.799089,395.87706,0.8892491,90cm from MG Edge,0,0.708,1.04
A6,MG 2,1,TM2 ,June ,1413,6.662064,449.57942,0.9184657,MG Edge,0,0.246,0.95
A7,MG 2,2,TM2 ,June ,1881,6.795923,413.82188,0.9013688,15cm from MG Edge,0.053,0.602,1.27
A8,MG 2,3,TM2 ,June ,1839,6.835073,466.60346,0.9092848,30cm from MG Edge,0,0.457,1.19
A9,MG 2,4,TM2 ,June ,2174,6.819936,362.87173,0.8875128,60cm from MG Edge,0,0.577,0.98
A11,MG 3,1,TM2 ,June ,1752,6.706898,319.97694,0.8980232,MG Edge,0,0.253,1.21
A12,MG 3,2,TM2 ,June ,1308,6.511095,345.44159,0.9073111,15cm from MG Edge,0,1.076,1.49
B1,MG 3,3,TM2 ,June ,904,6.071101,222.45231,0.8919131,30cm from MG Edge,0,1.267,1.92
B2,MG 3,4,TM2 ,June ,2480,6.823482,164.80977,0.873013,60cm from MG Edge,0,0.283,1.2
B3,MG 3,5,TM2 ,June ,1300,6.486059,347.3149,0.9045956,90cm from MG Edge,0,0.393,0.85
B4,MG 4,1,TM2 ,June ,1743,6.842456,538.4969,0.916806,MG Edge,0,0.839,1.1
B5,MG 4,2,TM2 ,June ,661,5.863048,165.17956,0.902875,15cm from MG Edge,0,0.353,1.14
B6,MG 4,3,TM2 ,June ,568,5.887593,254.55439,0.9283318,30cm from MG Edge,0,0.346,1.01
B7,MG 4,4,TM2 ,June ,1488,6.6268,284.87255,0.9071361,60cm from MG Edge,0,0.264,0.8
B8,MG 4,5,TM2 ,June ,939,6.188932,240.93506,0.904178,90cm from MG Edge,0.157,0.44,0.77
B10,MG 5,2,TM2 ,June ,1821,6.840188,520.58412,0.9111576,15cm from MG Edge,0.205,0.373,0.8
B11,MG 5,3,TM2 ,June ,2294,6.947549,281.20288,0.897842,30cm from MG Edge,0.300,0.806,1.09
B12,MG 5,4,TM2 ,June ,3053,7.181178,597.20708,0.8949758,60cm from MG Edge,0.230,0.304,0.76
B9,MG 5,1,TM2 ,June ,2009,6.888161,501.73272,0.9056944,MG Edge,0.270,0.062,0.92
C1,MG 5,5,TM2 ,June ,1445,6.632076,457.48564,0.9115173,90cm from MG Edge,0.214,0.176,0.96
C2,MG 6,1,TM3 ,June ,1609,6.699906,447.37539,0.9074322,MG Edge,0.155,0.121,0.92
C3,MG 6,2,TM3 ,June ,1599,6.663222,390.4779,0.9032265,15cm from MG Edge,0.144,0.32,0.95
C4,MG 6,3,TM3 ,June ,1447,6.405649,189.15795,0.8802296,30cm from MG Edge,0.207,0.019,1
C5,MG 6,4,TM3 ,June ,1917,6.701572,369.80444,0.8866253,60cm from MG Edge,0.216,0.037,1.01
C6,MG 6,5,TM3 ,June ,1052,6.171697,175.74079,0.8869358,90cm from MG Edge,0.103,0.41,0.9
C10,MG 7,4,TM3 ,June ,1461,6.600461,375.58591,0.9058011,60cm from MG Edge,0.109,0.022,1.2
C11,MG 7,5,TM3 ,June ,1321,6.54282,370.10648,0.9104771,90cm from MG Edge,0.092,0.439,1.06
C7,MG 7,1,TM3 ,June ,1544,6.698467,423.24584,0.9123327,MG Edge,0.213,1.305,1.07
C8,MG 7,2,TM3 ,June ,1345,6.574334,389.18781,0.9125761,15cm from MG Edge,0.115,0.127,0.88
C9,MG 7,3,TM3 ,June ,1773,6.791691,445.85883,0.9079282,30cm from MG Edge,0.142,0.023,1.25
C12,MG 8,1,TM3 ,June ,1650,6.633883,351.49916,0.8954385,MG Edge,0.093,0.746,1.25
D1,MG 8,2,TM3 ,June ,1736,6.580107,196.01107,0.88213,15cm from MG Edge,0.107,0.051,1.03
D2,MG 8,3,TM3 ,June ,1386,6.58986,383.78208,0.9109343,30cm from MG Edge,0.099,1.181,1.32
D3,MG 8,4,TM3 ,June ,1783,6.713602,333.94673,0.8968147,60cm from MG Edge,0.092,1.407,1.08
D4,MG 8,5,TM3 ,June ,2005,6.864022,407.08192,0.902757,90cm from MG Edge,0.076,0.2,1.15
D5,MG 9,1,TM3 ,June ,1607,6.677918,350.93943,0.9046065,MG Edge,0.041,0.657,1.14
D6,MG 9,2,TM3 ,June ,1885,6.709957,288.14137,0.8897161,15cm from MG Edge,0,0.953,1.17
D7,MG 9,3,TM3 ,June ,2203,6.855995,352.20295,0.8906695,30cm from MG Edge,0,1.136,1.23
D8,MG 9,4,TM3 ,June ,1605,6.645072,321.95502,0.900309,60cm from MG Edge,0,1.028,1.1
D9,MG 9,5,TM3 ,June ,2413,6.927578,424.95166,0.889448,90cm from MG Edge,0,1.417,1.09
D10,MG 10,1,TM3 ,June ,2115,6.85355,399.98037,0.8950921,MG Edge,0,0.912,0.94
D11,MG 10,2,TM3 ,June ,2007,6.707735,304.41648,0.8820865,15cm from MG Edge,0,0.862,1.06
D12,MG 10,3,TM3 ,June ,2676,6.8568,302.05256,0.8688206,30cm from MG Edge,0,0.371,1.06
E1,MG 10,4,TM3 ,June ,1959,6.684061,320.17402,0.8817802,60cm from MG Edge,0,0.65,0.88
E2,MG 10,5,TM3 ,June ,1738,6.752649,396.59841,0.9051213,90cm from MG Edge,0,1.19,1.12
E3,MG 16,1,TM3 ,July,1724,6.451803,158.39062,0.8657347,MG Edge,0.037,0.863,1.34
E4,MG 16,2,TM3 ,July,2321,6.723816,250.01358,0.8676167,15cm from MG Edge,0,1.563,0.99
E5,MG 16,3,TM3 ,July,1970,6.737514,363.17525,0.8881758,30cm from MG Edge,0.043,2.17,1.64
E6,MG 16,4,TM3 ,July,2135,6.597975,220.50856,0.8606554,60cm from MG Edge,0,1.793,1.31
E7,MG 16,5,TM3 ,July,2569,6.864594,367.06714,0.8743289,90cm from MG Edge,0,1.642,1.27
E10,MG 17,3,TM3 ,July,2563,6.812489,283.34769,0.8679509,30cm from MG Edge,0,1.652,1.45
E11,MG 17,4,TM3 ,July,1698,6.421764,182.05291,0.8634646,60cm from MG Edge,0,1.554,1.57
E12,MG 17,5,TM3 ,July,2300,6.807919,362.79046,0.8795006,90cm from MG Edge,0,1.036,1.28
E8,MG 17,1,TM3 ,July,1665,6.494275,240.72087,0.8755247,MG Edge,0,1.21,1.33
E9,MG 17,2,TM3 ,July,2030,6.53818,230.48857,0.858503,15cm from MG Edge,0,1.505,1.46
F1,MG 18,1,TM3 ,July,895,6.094902,204.82019,0.8967279,MG Edge,0.038,2.076,1.69
F2,MG 18,2,TM3 ,July,1503,6.604651,375.34569,0.9028644,15cm from MG Edge,0,1.207,1.57
F3,MG 18,3,TM3 ,July,1265,6.395613,273.66618,0.8953895,30cm from MG Edge,0,2.108,1.32
F4,MG 18,4,TM3 ,July,1571,6.553413,284.70992,0.8904738,60cm from MG Edge,0.044,2.719,0.25
F5,MG 18,5,TM3 ,July,1264,6.369896,267.32696,0.891888,90cm from MG Edge,0.06,1.641,0.63
F10,MG 19,5,TM3 ,July,1359,6.427881,278.67,0.8909664,90cm from MG Edge,0.063,2.217,1.66
F6,MG 19,1,TM3 ,July,593,5.782112,172.27609,0.9055499,MG Edge,0,0.125,0.82
F7,MG 19,2,TM3 ,July,1164,6.384066,286.92165,0.9043076,15cm from MG Edge,0.062,2.874,1.53
F8,MG 19,3,TM3 ,July,471,5.559074,149.30374,0.903201,30cm from MG Edge,0.079,0.141,1.68
F9,MG 19,4,TM3 ,July,1206,6.333628,229.58707,0.8926809,60cm from MG Edge,0,1.726,1.44
F11,MG 20,1,TM3 ,July,859,6.122762,241.96839,0.9063013,MG Edge,0.045,2.922,1.6
F12,MG 20,2,TM3 ,July,1754,6.639268,320.63928,0.888832,15cm from MG Edge,0.048,2.503,1.47
G1,MG 20,3,TM3 ,July,1648,6.57725,297.53486,0.8879395,30cm from MG Edge,0.046,1.83,1.32
G2,MG 20,4,TM3 ,July,1470,6.593189,359.62349,0.9040413,60cm from MG Edge,0,0.372,1.12
G3,MG 20,5,TM3 ,July,831,6.05869,231.0093,0.9012381,90cm from MG Edge,0.058,0.544,4.43
G4,DMG 1,1,TM3 ,December,212,4.983515,98.76283,0.9303529,MG Edge,,,0.77
G8,DMG 1,5,TM3 ,December,874,6.237549,299.11513,0.9209324,90cm from MG Edge,,,1.04
G10,DMG 2,2,TM3 ,December,812,5.8787,164.46248,0.8774833,15cm from MG Edge,,,0.36
G11,DMG 2,3,TM3 ,December,323,5.329833,132.46078,0.9224912,30cm from MG Edge,,,0.34
G12,DMG 2,4,TM3 ,December,236,4.96926,86.22185,0.9094826,60cm from MG Edge,,,0.34
