"","Month","Family_grouped","Percentage"
"1","December","A4b",11.2437471454594
"2","December","Assigned at Higher Taxonomy",9.06500781597299
"3","December","Balneolaceae",1.40717686354667
"4","December","Cryomorphaceae",2.11981074257272
"5","December","Cyclobacteriaceae",6.18076287626865
"6","December","Flammeovirgaceae",1.29968470500141
"7","December","Flavobacteriaceae",10.2728492805827
"8","December","Halieaceae",4.92887467194637
"9","December","Phycisphaeraceae",2.38200465782859
"10","December","Pirellulaceae",2.93316530557205
"11","December","Puniceicoccaceae",2.37828134412889
"12","December","Rare Families",15.1447515656198
"13","December","Rhodobacteraceae",12.4972557784701
"14","December","Rhodothermaceae",1.18602440827649
"15","December","Rubritaleaceae",1.00765792249117
"16","December","Saprospiraceae",8.44693470676269
"17","December","Unknown Family",1.96633852338087
"18","December","Woeseiaceae",5.53967168611843
"19","July","A4b",3.19629960838455
"20","July","AKAU3564 sediment group",1.64593921581369
"21","July","Anaerolineaceae",1.11271701468952
"22","July","Assigned at Higher Taxonomy",16.1932803497155
"23","July","Bacteroidetes BD2-2",1.97785331606641
"24","July","Chromatiaceae",1.89278635241281
"25","July","Cyclobacteriaceae",2.24600672164934
"26","July","Desulfobacteraceae",1.09392481916097
"27","July","Desulfobulbaceae",2.17178612437236
"28","July","Desulfocapsaceae",3.2063456972385
"29","July","Desulfococcaceae",2.60804327017707
"30","July","Desulfosarcinaceae",1.67610526140544
"31","July","Desulfovibrionaceae",1.90535415445933
"32","July","Flavobacteriaceae",14.6573626865065
"33","July","Halieaceae",3.92036038829629
"34","July","Pirellulaceae",2.22967937660094
"35","July","Prolixibacteraceae",1.45713608369854
"36","July","Puniceicoccaceae",1.04753055867211
"37","July","Rare Families",18.6490933792023
"38","July","Rhodobacteraceae",6.42251215161885
"39","July","SB-5",1.6507136571471
"40","July","Saprospiraceae",3.69110886027465
"41","July","Spirochaetaceae",2.01642419504077
"42","July","Unknown Family",1.85398332196518
"43","July","Woeseiaceae",1.47765343543136
"44","June ","A4b",4.57312736614141
"45","June ","Acanthopleuribacteraceae",1.05612145603369
"46","June ","Assigned at Higher Taxonomy",16.2174291903483
"47","June ","Cryomorphaceae",1.41094219680093
"48","June ","Cyclobacteriaceae",3.51174099981986
"49","June ","Desulfobulbaceae",1.28998861029414
"50","June ","Desulfocapsaceae",3.13558563608764
"51","June ","Flavobacteriaceae",9.30815296583186
"52","June ","Halieaceae",2.92060708554954
"53","June ","Phycisphaeraceae",1.06093829335355
"54","June ","Pirellulaceae",2.32597920738713
"55","June ","Puniceicoccaceae",1.92047051162031
"56","June ","Rare Families",28.593858095559
"57","June ","Rhodobacteraceae",9.17441607534452
"58","June ","Saprospiraceae",5.59636130927418
"59","June ","Sphingomonadaceae",1.13257009037614
"60","June ","Spirochaetaceae",1.12815845716243
"61","June ","Unknown Family",2.15691016954874
"62","June ","Woeseiaceae",3.48664228346666
